time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2015-06-10,27.3,16.2,0.0,13.4,91
2015-06-10,27.6,17.0,0.4,12.9,93
2015-06-10,27.7,17.1,0.4,12.9,93
2015-06-10,27.6,19.1,0.0,9.8,89
2015-06-10,28.7,18.7,0.5,10.6,92
2015-06-10,27.1,16.0,0.0,13.4,91
2015-06-10,27.6,17.0,0.4,12.9,93
2015-06-11,26.0,17.3,0.6,14.2,91
2015-06-11,25.9,17.2,0.6,14.2,91
2015-06-11,26.7,18.1,1.1,16.2,90
2015-06-12,29.9,19.2,0.0,8.7,88
2015-06-12,28.5,19.0,0.0,16.5,81
2015-06-12,28.1,17.6,0.0,15.5,93
2015-06-12,28.1,17.6,0.0,15.5,93
2015-06-12,28.1,17.6,0.0,15.5,93
2015-06-12,25.7,19.8,0.0,24.8,87
2015-06-12,27.9,17.6,0.0,16.5,85
2015-06-12,29.4,19.9,0.0,19.0,81
2015-06-12,25.0,15.4,0.0,8.4,70
2015-06-12,25.0,15.4,0.0,8.4,70
2015-06-13,29.5,21.0,0.0,13.8,77
2015-06-13,28.4,20.2,0.0,15.7,83
2015-06-13,32.5,19.9,0.0,19.3,84
2015-06-13,30.7,21.5,0.0,16.8,67
2015-06-13,25.0,20.9,0.0,9.9,80
2015-06-13,29.4,17.4,0.0,12.1,88
2015-06-13,29.2,17.3,0.0,12.1,88
2015-06-13,26.5,20.5,0.0,23.2,82
2015-06-13,30.3,17.3,0.0,16.5,87
2015-06-13,31.1,19.1,0.0,16.5,82
2015-06-13,32.5,19.9,0.0,19.3,84
2015-06-13,28.6,18.3,0.0,11.9,99
2015-06-13,29.2,17.3,0.0,17.5,83
2015-06-13,28.6,18.2,0.0,11.9,99
2015-06-13,28.5,18.1,0.0,11.9,99
2015-06-13,28.8,17.8,0.0,11.9,95
2015-06-13,28.7,17.8,0.0,11.9,95
2015-06-13,28.5,18.2,0.0,11.9,99
2015-06-13,28.6,18.3,0.0,11.9,99
2015-06-13,29.2,17.3,0.0,17.5,83
2015-06-13,28.6,16.1,0.0,17.5,87
2015-06-13,29.3,17.4,0.0,16.5,83
2015-06-13,29.1,17.2,0.0,17.5,83
2015-06-13,28.3,16.2,0.0,17.5,87
2015-06-13,29.1,17.3,0.0,17.0,98
2015-06-13,29.3,17.3,0.0,12.1,88
2015-06-14,26.9,20.7,0.0,10.4,76
2015-06-14,33.1,21.9,0.0,15.0,77
2015-06-14,33.8,19.9,0.0,6.3,74
2015-06-14,33.8,19.9,0.0,6.3,74
2015-06-14,27.9,19.9,0.0,11.2,75
2015-06-14,32.3,20.1,0.0,5.6,66
2015-06-14,32.1,20.4,0.0,5.6,67
2015-06-14,33.2,21.3,0.0,11.9,68
2015-06-14,32.1,19.3,0.0,11.9,72
2015-06-14,32.5,20.3,0.0,5.6,66
2015-06-14,33.6,20.2,0.0,11.9,77
2015-06-14,32.0,19.3,0.0,11.9,72
2015-06-14,33.5,20.1,0.0,11.9,77
2015-06-14,33.1,21.4,0.0,11.9,68
2015-06-14,32.7,20.5,0.0,5.6,66
2015-06-14,33.1,21.9,0.0,15.0,77
2015-06-14,33.1,21.9,0.0,15.0,77
2015-06-14,33.8,19.9,0.0,6.3,74
2015-06-14,33.6,19.7,0.0,6.3,74
2015-06-15,33.3,22.6,0.0,14.0,83
2015-06-15,33.4,21.4,0.0,7.5,77
2015-06-15,35.6,18.7,0.0,10.9,67
2015-06-15,35.7,19.0,0.0,10.9,67
2015-06-15,35.0,17.6,0.0,15.5,77
2015-06-15,35.1,17.7,0.0,15.5,77
2015-06-15,30.9,17.1,0.0,7.7,80
2015-06-15,30.8,17.0,0.0,7.7,80
2015-06-15,36.2,20.1,0.0,7.2,83
2015-06-15,34.3,21.3,0.0,7.2,77
2015-06-15,35.9,19.9,0.0,7.2,83
2015-06-16,35.9,19.5,0.0,9.0,71
2015-06-16,31.1,23.9,0.0,10.1,64
2015-06-16,33.9,18.7,0.0,13.5,70
2015-06-16,34.7,19.8,0.0,12.0,73
2015-06-16,35.9,23.4,0.0,12.6,63
2015-06-16,35.9,19.5,0.0,9.0,71
